"County","TotalFacilities","AdministrativeOfficesCount","BasicPrimaryHealthCareFacilityCount","BloodBankCount","ComprehensiveTeachingReferralCount","ComprehensivePrimaryHealthCareFacilityCount","DispensariesClinicOutpatientCount","FarewellHomeCount","HospitalsCount","LaboratoryCount","PharmacyCount","PrimaryCareHospitalsCount","PrimaryHealthCareServicesCount","RadiologyClinicCount","RegionalBloodTransfusionCentreCount","SecondaryCareHospitalsCount","VCTCount"
"BARINGO","187","1","21","0","0","0","158","0","0","0","0","3","0","0","0","4","0"
"BOMET","128","0","15","0","0","0","102","0","0","0","0","5","0","0","0","1","5"
"BUNGOMA","202","0","32","0","0","2","149","0","1","1","0","7","0","0","0","7","3"
"BUSIA","116","0","23","0","0","0","83","0","0","0","0","5","0","0","0","5","0"
"ELEGEYO-MARAKWET","102","0","19","0","0","0","76","0","0","0","0","6","0","0","0","1","0"
"EMBU","156","2","21","0","1","0","125","0","0","0","0","5","0","0","1","1","0"
"GARISSA","133","0","24","0","1","0","98","0","0","0","0","7","0","0","0","3","0"
"HOMA BAY","250","0","65","0","0","2","153","0","0","0","0","8","0","0","0","7","15"
"ISIOLO","49","0","6","0","0","0","40","0","0","0","0","1","0","0","0","2","0"
"KAJIADO","271","1","44","0","0","0","205","0","0","1","0","11","0","1","0","3","5"
"KAKAMEGA","255","1","64","0","1","0","170","0","0","0","0","11","0","0","0","4","4"
"KERICHO","183","0","14","0","0","0","146","0","0","0","0","13","0","1","0","4","5"
"KIAMBU","416","1","51","0","1","1","330","0","1","1","0","21","0","0","0","4","5"
"KILIFI","203","0","21","0","0","1","168","0","0","0","0","7","0","0","0","3","3"
"KIRINYAGA","204","0","38","0","0","1","141","0","0","17","0","4","0","1","0","2","0"
"KISII","159","0","31","0","0","1","101","0","0","0","0","17","0","0","1","8","0"
"KISUMU","202","1","44","0","1","0","124","0","0","1","0","21","0","0","0","7","3"
"KITUI","309","0","62","0","0","1","230","0","0","0","0","11","0","0","0","3","0"
"KWALE","114","0","13","0","0","1","96","0","0","0","0","1","0","0","0","2","1"
"LAIKIPIA","108","0","12","0","0","0","84","0","0","1","0","5","0","0","0","4","2"
"LAMU","47","0","6","0","0","0","37","0","0","0","0","3","0","0","0","1","0"
"MACHAKOS","320","0","49","0","1","2","251","0","0","0","0","3","0","0","0","7","7"
"MAKUENI","236","0","37","0","0","0","183","0","0","0","0","10","0","0","0","4","2"
"MANDERA","85","0","32","0","0","1","45","0","0","0","1","2","0","0","0","4","0"
"MARSABIT","91","0","27","0","0","1","57","0","0","1","0","2","0","0","0","3","0"
"MERU","429","2","46","0","0","2","343","1","0","6","2","20","0","2","0","5","0"
"MIGORI","208","2","36","1","0","1","146","0","0","0","0","12","0","0","0","4","6"
"MOMBASA","250","0","26","0","1","0","201","0","0","0","0","13","0","0","1","2","6"
"MURANG'A","219","0","20","0","0","0","188","0","0","1","0","8","0","0","0","2","0"
"NAIROBI","783","10","130","0","2","4","534","1","0","12","0","42","0","1","0","5","42"
"NAKURU","357","2","68","0","1","0","253","0","0","1","1","20","0","0","0","3","8"
"NANDI","169","1","19","0","0","1","136","0","0","0","0","5","0","0","0","3","4"
"NAROK","149","0","31","0","0","1","106","0","0","0","0","4","0","1","0","3","3"
"NYAMIRA","120","0","47","0","0","0","66","0","0","0","0","4","0","0","0","3","0"
"NYANDARUA","141","0","32","0","0","0","106","0","0","0","0","2","0","0","0","1","0"
"NYERI","299","0","35","0","1","2","242","0","0","6","0","6","0","1","0","4","2"
"SAMBURU","72","0","5","0","0","0","64","0","0","0","0","2","0","0","0","1","0"
"SIAYA","177","0","45","0","0","0","114","0","0","0","0","11","0","0","0","4","3"
"TAITA TAVETA","84","0","18","0","0","0","58","0","0","0","0","5","0","0","0","3","0"
"TANA RIVER","55","0","8","0","0","0","44","0","0","0","0","1","0","0","0","2","0"
"THARAKA-NITHI","134","0","21","0","0","0","106","0","0","0","0","4","0","0","0","3","0"
"TRANS NZOIA","152","0","29","0","0","1","106","0","0","2","1","10","0","0","0","2","1"
"TURKANA","163","4","21","0","0","0","127","0","0","0","0","6","0","0","0","4","1"
"UASIN GISHU","168","0","31","1","1","0","119","0","0","0","0","9","0","0","0","4","3"
"VIHIGA","78","0","25","0","0","0","46","0","0","0","0","4","0","0","0","1","2"
"WAJIR","88","0","24","0","0","0","54","0","0","0","0","6","0","0","0","4","0"
"WEST POKOT","111","0","12","0","0","0","94","0","0","0","0","3","0","0","0","2","0"
