"County","Level1Count","Level2Count","Level3Count","Level4Count","Level5Count","Level6Count"
"BARINGO","0","162","21","4","0","0"
"BOMET","0","105","17","5","1","0"
"BUNGOMA","0","161","29","12","0","0"
"BUSIA","0","91","18","7","0","0"
"ELEGEYO-MARAKWET","0","77","18","7","0","0"
"EMBU","0","135","15","4","1","0"
"GARISSA","0","99","23","10","1","0"
"HOMA BAY","0","181","54","15","0","0"
"ISIOLO","0","40","6","3","0","0"
"KAJIADO","0","226","33","11","0","0"
"KAKAMEGA","0","181","60","13","1","0"
"KERICHO","0","149","19","15","0","0"
"KIAMBU","0","347","43","25","1","0"
"KILIFI","0","175","20","8","0","0"
"KIRINYAGA","0","169","29","6","0","0"
"KISII","0","104","34","20","1","0"
"KISUMU","0","135","43","21","1","0"
"KITUI","0","238","58","13","0","0"
"KWALE","0","101","11","2","0","0"
"LAIKIPIA","0","87","13","8","0","0"
"LAMU","0","38","6","3","0","0"
"MACHAKOS","0","275","33","10","1","0"
"MAKUENI","0","194","33","9","0","0"
"MANDERA","0","54","24","7","0","0"
"MARSABIT","0","69","18","4","0","0"
"MERU","0","372","35","21","1","0"
"MIGORI","0","161","35","12","0","0"
"MOMBASA","0","214","20","13","2","0"
"MURANG'A","0","193","17","9","0","0"
"NAIROBI","0","608","135","30","4","3"
"NAKURU","0","280","55","21","1","0"
"NANDI","0","149","15","5","0","0"
"NAROK","0","112","30","7","0","0"
"NYAMIRA","0","70","43","7","0","0"
"NYANDARUA","0","114","24","3","0","0"
"NYERI","0","263","26","9","1","0"
"SAMBURU","0","64","5","3","0","0"
"SIAYA","0","123","45","9","0","0"
"TAITA TAVETA","0","60","15","9","0","0"
"TANA RIVER","0","45","7","3","0","0"
"THARAKA-NITHI","0","111","17","6","0","0"
"TRANS NZOIA","0","128","16","7","1","0"
"TURKANA","0","136","17","8","0","0"
"UASIN GISHU","0","130","26","10","0","1"
"VIHIGA","0","49","24","5","0","0"
"WAJIR","0","54","24","10","0","0"
"WEST POKOT","0","98","8","5","0","0"
