"county","facilityCount"
"NAIROBI","766"
"MERU","426"
"KIAMBU","401"
"NAKURU","351"
"MACHAKOS","314"
"KITUI","307"
"NYERI","297"
"KAJIADO","264"
"KAKAMEGA","250"
"MOMBASA","248"
"HOMA BAY","241"
"MAKUENI","234"
"MURANG'A","218"
"MIGORI","208"
"KIRINYAGA","204"
"KISUMU","202"
"KILIFI","200"
"BUNGOMA","194"
"BARINGO","187"
"KERICHO","183"
"SIAYA","177"
"UASIN GISHU","168"
"NANDI","166"
"TURKANA","163"
"KISII","159"
"TRANS NZOIA","148"
"NAROK","147"
"EMBU","146"
"NYANDARUA","139"
"GARISSA","133"
"THARAKA-NITHI","133"
"BOMET","128"
"NYAMIRA","119"
"KWALE","113"
"BUSIA","112"
"WEST POKOT","110"
"LAIKIPIA","106"
"ELEGEYO-MARAKWET","102"
"MARSABIT","91"
"WAJIR","88"
"MANDERA","85"
"TAITA TAVETA","84"
"VIHIGA","78"
"SAMBURU","72"
"TANA RIVER","54"
"ISIOLO","48"
"LAMU","47"
