"FacilityType","Level1Count","Level2Count","Level3Count","Level4Count","Level5Count","Level6Count"
"Administrative Offices","0","25","3","0","0","0"
"Basic primary health care facility","0","346","1138","13","0","0"
"Blood Bank","0","2","0","0","0","0"
"Comprehensive Teaching &Referral","0","0","0","0","9","3"
"Comprehensive primary health care facility","0","12","12","2","0","0"
"Dispensaries and clinic-out patient only","0","6528","68","2","0","0"
"Farewell Home","0","1","0","0","0","0"
"Hospitals","0","0","0","2","0","0"
"Laboratory","0","46","1","4","0","0"
"Pharmacy","0","4","0","1","0","0"
"Primary care hospitals","0","11","81","288","6","0"
"Primary health  care services","0","0","2","0","0","0"
"Radiology Clinic","0","7","0","1","0","0"
"Regional Blood Transfusion Centre","0","2","0","0","1","0"
"Secondary care hospitals","0","3","12","141","2","1"
"VCT","0","140","0","0","0","0"
