"individual","KephLevel","RegulatoryBody","FacilityType","Owner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10001","Level 2","Kenya MPDB - Institution","Laboratory","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10002","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10006","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10007","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10008","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10009","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10010","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10013","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10014","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10015","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10017","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10019","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10020","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10022","Level 3","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10023","Level 3","Kenya MPDB - Institution","Basic primary health care facility","Supreme Council for Kenya Muslims"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10027","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#10029","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
